Train_No,Journey_Duration_Hours,Total_Distance,Number_of_Stops
7425,11.25,537,15
7426,11.333333333333334,537,15
7429,12.5,742,11
7430,13.75,744,11
7431,11.0,597,13
7432,11.0,597,14
7435,12.0,555,14
7436,12.083333333333334,554,15
7438,6.75,1533,28
7439,6.166666666666668,1533,28
7487,12.25,735,11
7505,16.75,1973,49
7509,14.333333333333334,1886,47
7517,9.25,350,9
7525,9.25,322,33
7526,10.0,322,33
7603,12.0,624,14
7604,15.5,624,14
7607,19.25,1014,19
7608,19.75,1016,19
7613,11.0,1636,38
7614,11.0,1641,39
7644,11.583333333333334,597,11
7645,9.25,587,10
7757,5.25,314,6
7758,5.333333333333333,314,6
7941,11.0,587,12
7942,10.5,597,13
8001,0.5833333333333334,39,2
8002,0.75,39,2
8014,0.6666666666666666,12,4
8017,0.8333333333333334,39,6
8018,0.9166666666666666,39,6
8035,2.9166666666666665,120,19
8036,3.0,120,19
8051,0.48333333333333334,39,3
8052,0.75,39,5
8061,10.25,1847,24
8062,10.583333333333334,1838,24
8063,3.0,115,17
8064,8.166666666666666,2039,16
8065,2.6666666666666665,115,17
8082,0.5,30,6
8087,0.4666666666666667,30,6
8101,1.3333333333333333,40,5
8102,0.9166666666666666,40,5
8301,7.166666666666667,1567,15
8302,6.083333333333333,1567,15
8403,9.333333333333334,495,9
8404,8.833333333333334,497,9
8501,13.0,700,13
8502,12.333333333333334,698,13
8511,12.0,471,12
8512,11.75,471,12
8567,4.75,1571,29
8568,6.75,1578,29
8573,14.5,760,15
8574,15.333333333333334,759,15
8581,0.3333333333333333,11,2
8582,0.25,11,2
8617,23.833333333333332,1365,15
8618,23.666666666666668,1356,15
8627,9.333333333333334,484,13
8628,9.5,481,14
8872,2.75,133,17
9003,13.916666666666666,1355,5
9004,13.916666666666666,1358,5
9005,15.916666666666666,1373,4
9006,16.083333333333332,1376,4
9011,22.166666666666668,1209,20
9012,21.916666666666668,1211,20
9433,13.416666666666666,780,14
9434,13.666666666666666,780,14
9621,22.25,1281,12
9622,21.166666666666668,1281,12
9721,7.25,429,12
9722,7.0,429,12
9761,2.75,125,13
9809,7.166666666666668,447,11
9810,8.0,450,11
10103,11.583333333333334,590,20
10104,12.416666666666666,594,20
